Price,Close,High,Low,Open,Volume
Ticker,ABT,ABT,ABT,ABT,ABT
Date,,,,,
2024-11-05,115.54069519042969,116.05102197139843,114.16672810510399,115.4032917431307,4059200
2024-11-06,114.62799072265625,118.7498845466226,113.35216252177611,118.7498845466226,5256100
2024-11-07,113.1558837890625,115.30515344983958,112.41001465523317,115.30515344983958,5519000
2024-11-08,114.4218978881836,115.06962817383214,112.5572361295396,113.18533414061274,5685700
2024-11-11,114.62799072265625,115.64864429833835,114.16672964253007,114.76538668428724,5301100
2024-11-12,114.2746810913086,115.11868910767487,114.25504881882485,114.51021594848672,4598900
2024-11-13,113.58769226074219,114.63779419868966,113.40123059981036,113.92137350073041,4760800
2024-11-14,112.89089965820312,113.93118549055144,112.79276075680544,113.82323794027674,3812300
2024-11-15,113.7447280883789,114.18635690498405,112.30206297244163,112.73388313980205,6898600
2024-11-18,115.17757415771484,115.74679027530593,113.36197825334716,113.43067623391724,6086500
2024-11-19,114.95184326171875,115.36403861587144,113.30308430766209,114.37281851871073,4542800
2024-11-20,113.774169921875,114.59854571614171,113.3816068109067,114.52003908396291,5624400
2024-11-21,115.07942962646484,115.4523604331022,112.99885055057705,113.52880958370464,5561900
2024-11-22,115.57014465332031,115.80567953213465,114.21580225322062,115.04018556034897,5349500
2024-11-25,115.9332504272461,116.44358469410572,115.39348272626246,116.08046252297554,6879000
2024-11-26,115.76641845703125,116.78707954652835,114.83408762372605,116.43377349679787,4056800
2024-11-27,116.73800659179688,118.28862675910105,115.90381466224062,116.14916567019944,3510300
2024-11-29,116.56134796142578,116.97354332548926,115.668274228911,116.50246611835308,2523200
2024-12-02,114.63780212402344,116.60061018018352,114.42189203984287,116.54172833450464,5338900
2024-12-03,114.12747192382812,115.25608801999999,113.91156184607998,114.92240676688422,4794900
2024-12-04,113.81341552734375,114.83407651813282,113.14606055211698,114.83407651813282,3557100
2024-12-05,113.44049072265625,114.12747805124036,112.75351088159083,113.11663307616466,3269800
2024-12-06,113.45030212402344,114.03914303285987,112.95960011874001,112.98904104105408,5300300
2024-12-09,112.76332092285156,113.71528399938005,111.73284372944028,113.51899870717308,4868000
2024-12-10,113.35215759277344,114.22560651981155,112.14502742519961,112.93996972580403,4072100
2024-12-11,112.01744842529297,113.44048118536921,111.88986860482648,113.16568927204564,4747700
2024-12-12,111.74266815185547,112.6455581004036,111.19308426795989,112.2726272488343,3764700
2024-12-13,111.2715835571289,112.16466479701793,110.05464468562145,111.73284463816887,4550500
2024-12-16,110.52572631835938,111.5365712873919,110.30000009334809,110.60423295149845,5047200
2024-12-17,111.18325805664062,111.7230257544111,110.11352382239174,110.12333995872012,5805600
2024-12-18,109.84854888916016,112.0272669447441,109.77003477296367,110.928091780548,6454600
2024-12-19,110.32943725585938,111.19307757861765,109.21063728093927,109.46580442061952,7738700
2024-12-20,112.10578918457031,112.96942206275921,110.42758165121337,110.54535283404226,12311900
2024-12-23,112.18429565429688,112.38058095872363,110.85940167137102,111.88006279183386,4028200
2024-12-24,112.62593078613281,112.69462877007815,111.47768235801958,112.01745758010352,1480000
2024-12-26,113.1264419555664,113.65640104297331,111.70340907295953,112.0763399177931,2960500
2024-12-27,112.85165405273438,113.7938010792975,112.3805842832123,112.8712863275172,2829500
2024-12-30,110.70237731933594,112.50815713629127,110.42757790206495,112.00763898566014,3475800
2024-12-31,111.0066146850586,111.66415361334502,110.4570308032095,110.95754148667115,3519900
2025-01-02,111.3304672241211,111.84079398700582,110.66311223418387,111.57581821325218,3569100
2025-01-03,111.71322631835938,112.10578944116878,111.17345108855659,111.82118136431994,4416700
2025-01-06,110.93791198730469,112.13522609691717,110.69256098082732,111.39917307748509,6037200
2025-01-07,111.29122161865234,112.55723375133698,111.06549539091779,111.26178069493018,5300100
2025-01-08,112.12540435791016,112.18428620051682,110.172412540435,111.42860843283144,4455800
2025-01-10,110.22148132324219,111.72302825176806,109.71115453553132,111.65433027097008,5108700
2025-01-13,111.08512115478516,111.28139895977567,109.8976232133004,110.506088901282,4409700
2025-01-14,110.91827392578125,111.69358396429429,110.20185321726237,111.44823297061997,3972400
2025-01-15,109.60616302490234,111.24384650384025,109.36939213972471,110.64204787862192,6543700
2025-01-16,112.37837982177734,112.41783536171997,109.52723158165446,109.52723158165446,5598700
2025-01-17,111.95416259765625,113.24654606028307,111.86536881470064,112.09227956953345,6459800
2025-01-21,115.21965789794922,115.32817945453726,112.60528794463742,112.71380950122548,8486300
