Price,Close,High,Low,Open,Volume
Ticker,ALL,ALL,ALL,ALL,ALL
Date,,,,,
2024-11-05,181.5478973388672,181.96974450946144,177.80040173485187,179.06591330822425,1626500
2024-11-06,185.2071075439453,191.48565633390402,183.3922261120927,191.48565633390402,2349500
2024-11-07,186.9337158203125,187.57137403277312,183.3137428121214,186.00174806009875,1282300
2024-11-08,193.16319274902344,194.79169258288678,188.1109363014895,189.8375293370378,2018600
2024-11-11,193.77142333984375,197.18537489288062,193.4280597341894,194.2325047672291,1339700
2024-11-12,194.3404083251953,195.43914785921987,192.83944629417834,193.87932692019496,959600
2024-11-13,193.55560302734375,195.95910342976273,193.25148866615504,194.24231528957708,1128100
2024-11-14,192.06443786621094,194.15401899309023,191.26000781164217,192.9866007103587,953100
2024-11-15,193.14358520507812,194.65435225657473,192.29990582148238,192.29990582148238,1397400
2024-11-18,196.17494201660156,196.2730501900212,192.6530771412385,192.88851280671665,1108700
2024-11-19,192.868896484375,195.71385378479272,192.62364102850435,195.1154298737001,1134400
2024-11-20,193.5457763671875,194.86035690166125,192.4176073313166,193.94799888123697,983200
2024-11-21,199.61831665039062,199.67717556478559,194.12460341491985,195.85119643706122,2437200
2024-11-22,199.93226623535156,201.45285317435642,198.37244500679324,199.00029842409256,2346300
2024-11-25,198.19583129882812,201.28604395374168,197.9505758510031,198.9904565547085,4504400
2024-11-26,203.92501831054688,204.27818679461,198.5490224702135,200.50126144728563,2010500
2024-11-27,204.2487335205078,205.89685791037363,202.70853709542823,203.80727670920243,1429600
2024-11-29,204.3571319580078,205.66768386742066,204.00239598977842,204.83997162010039,698700
2024-12-02,201.4010009765625,205.26367311027485,201.27289728455963,204.77098510798024,1282900
2024-12-03,200.42547607421875,202.5046200739075,199.62732390523328,202.2779877997172,1277300
2024-12-04,201.95281982421875,202.81995556556714,199.08537189051518,200.20869999378678,1360900
2024-12-05,201.24334716796875,203.86445107846433,201.12510685297192,202.74112297905842,1165000
2024-12-06,200.66197204589844,201.89369207049654,198.59267639031572,200.3072360773884,1050700
2024-12-09,196.12924194335938,201.43056989206315,195.99128989808972,199.74558527024413,2307200
2024-12-10,192.2074432373047,196.76973900189017,191.9512508860274,196.53324334526474,1667300
2024-12-11,190.4731903076172,193.20268613075015,188.3447744664237,192.2567185227825,1541400
2024-12-12,189.48782348632812,192.27643960134995,189.13308749554966,191.6753595901877,1113000
2024-12-13,193.389892578125,194.79898810748816,190.79836386566618,190.98558771546536,1803000
2024-12-16,192.1680450439453,195.69569317262844,192.03009299581336,194.12893379698892,1409100
2024-12-17,190.57171630859375,191.66548429253436,188.82761157835603,191.320611706822,1324400
2024-12-18,186.482421875,190.8574940462251,186.32475809471453,189.67504576537536,1378400
2024-12-19,187.01451110839844,189.32030245789952,185.6251423258309,186.8864224480587,1478500
2024-12-20,190.72938537597656,192.06949740219616,184.66932869723337,185.67440144016413,2351800
2024-12-23,190.7983856201172,191.0053061882759,188.8966018631375,189.73417759121838,1336100
2024-12-24,192.66073608398438,192.95635191620661,190.0987522522526,191.03485652458488,453200
2024-12-26,192.75926208496094,193.0548779132173,191.67535742888177,192.60161334078373,563300
2024-12-27,190.96588134765625,192.92677006280843,189.77356971240556,191.3206173268044,1094400
2024-12-30,189.73416137695312,190.30568129005684,186.98495377832748,190.02977719899232,1041700
2024-12-31,189.9706268310547,190.571706774783,188.99511424258898,189.71443449142973,758000
2025-01-02,189.14292907714844,190.92645731521984,187.63530492918503,190.20713701141293,1721900
2025-01-03,188.65023803710938,190.67026190681707,188.0491580570626,189.90166980585823,1431600
2025-01-06,183.19126892089844,189.73416542922442,182.6394607269841,188.81775786489516,2622900
2025-01-07,183.31935119628906,184.85655044301592,181.49641455033495,183.3686230052381,2265500
2025-01-08,188.9951171875,189.03452561127017,182.31426920295365,185.9601573452897,2401700
2025-01-10,178.3432159423828,187.96048073656976,173.8794636577552,185.86162494760683,4642100
2025-01-13,179.8705291748047,181.65407237218773,175.52503242376346,175.79107311920944,2381500
2025-01-14,184.07810974121094,184.33431715406897,179.27933286986269,180.60958160447478,1554500
2025-01-15,185.28024291992188,187.37909855290704,184.21603506526645,186.23605881616854,1672300
2025-01-16,188.30535888671875,189.15278284487042,185.033903362249,185.65469505125677,1502000
2025-01-17,186.1375274658203,190.0691832682,185.87148676136505,188.5122873247033,1519000
2025-01-21,186.97509765625,190.4928972245205,186.73860200132304,187.4480739304592,1609200
2025-01-22,182.54090881347656,189.0838050245824,182.1960211901243,188.22653269338298,1856800
2025-01-23,181.9595489501953,185.27041315146903,181.51613272520194,182.5409172237565,2241700
2025-01-24,183.3489227294922,183.77262719976017,181.21064354089432,181.85114697343317,1215500
2025-01-27,190.3647918701172,190.44362375440463,184.47224759934193,184.5806395607816,1518700
2025-01-28,188.16741943359375,190.09874809534105,187.4480840825987,189.27103581173506,875600
2025-01-29,188.01959228515625,190.1282963251981,187.03421628447046,187.19188005313487,724800
2025-01-30,190.99545288085938,191.56697282796526,188.98527719991506,190.00022842428402,879600
2025-01-31,189.5173797607422,191.73447589968072,189.46810795052556,191.162955979588,1619400
2025-02-03,189.1724853515625,189.95094083243427,184.74815661552887,188.0885807438334,1223700
2025-02-04,188.07872009277344,190.6505521606419,187.69442403829402,188.3841842597128,1109100
2025-02-05,190.1874237060547,190.50275125536496,188.12799139492412,190.50275125536496,1288600
2025-02-06,189.07395935058594,196.12924036929783,187.1327673490988,192.148327783719,2641200
2025-02-07,187.45794677734375,189.94108361903906,185.28025907242738,189.1922032274295,1928100
2025-02-10,183.85145568847656,187.369240186195,182.81680788244955,186.95538407091308,1544200
2025-02-11,186.6597900390625,188.0688857004763,182.038388694812,184.16678967374594,1374600
2025-02-12,186.56124877929688,186.68935247681097,183.30950481712867,185.33937706820745,2641300
2025-02-13,189.95094299316406,190.25640715914102,185.4576306670557,187.22144715881544,1889100
2025-02-14,184.8861083984375,189.87210867967337,183.08286846825132,189.30058878084566,3917900
