Price,Close,High,Low,Open,Volume
Ticker,PNC,PNC,PNC,PNC,PNC
Date,,,,,
2023-12-11,130.86941528320312,131.56552919428398,130.14545794867692,131.12929667700874,2254300
2023-12-12,130.73019409179688,131.5655250940715,130.0712000450226,130.8044337770216,1317400
2023-12-13,135.8071746826172,135.92782478303414,130.25681686432713,130.5631086499496,2455300
2023-12-14,142.29495239257812,143.05604367833513,137.41287894756758,138.89791335304992,4269900
2023-12-15,141.38536071777344,143.3716049375879,140.8563074112828,141.914399861792,5912600
2023-12-18,140.5314483642578,141.83085504291512,139.19490768765567,141.83085504291512,2648700
2023-12-19,143.49227905273438,143.7521604329873,139.66828387013427,140.5685922811794,2373500
2023-12-20,138.91648864746094,144.21624205527812,138.83295837817622,142.7497604015607,2353000
2023-12-21,140.8656005859375,142.07220074073928,139.62186642869563,140.14164332555092,1683500
2023-12-22,141.5153045654297,142.46202335679644,140.67068303746987,140.8841539836944,1202100
2023-12-26,143.02821350097656,143.47372244762707,141.03267841785052,141.39465709246792,1066700
2023-12-27,143.863525390625,143.9099358119551,141.65451963005526,142.47129772555442,1245400
2023-12-28,144.44827270507812,144.9866024617643,143.81712210112877,144.2719215927618,1153300
2023-12-29,143.72433471679688,144.89380107200486,143.41804287466448,144.11415683519954,1572600
2024-01-02,145.25575256347656,146.10037407641724,142.12788561854165,142.91680612859165,2473200
2024-01-03,140.76351928710938,144.28120872498624,140.52219073129623,143.67791566040128,2098600
2024-01-04,141.57101440429688,143.04677259124867,140.91203445728178,140.9769977286542,2785800
2024-01-05,145.00515747070312,145.849779041027,141.35752755074714,142.165015116621,2116200
2024-01-08,146.20248413085938,146.36026824667562,143.47371541180257,144.79168934609717,1522900
2024-01-09,143.4087371826172,144.99588307691494,142.9446612578191,144.99588307691494,1678400
2024-01-10,144.03057861328125,144.25334012689345,142.20213273529143,143.39944223508724,1515700
2024-01-11,141.5802764892578,143.43658018298729,139.1114033400773,143.427303763009,2239800
2024-01-12,139.6392822265625,143.33374314285066,138.73911757857033,142.33041883068162,3013400
2024-01-16,139.73306274414062,140.53946803068553,134.86650177249206,138.51407601222024,4159000
2024-01-17,139.54551696777344,142.827396321019,137.31383442905172,138.08272443744,2878500
2024-01-18,137.1731719970703,140.07998510764162,136.01982984632343,139.66740370532997,2708300
2024-01-19,141.39273071289062,141.5333912675721,137.17317161389488,137.83893056719407,2222600
2024-01-22,140.11749267578125,143.1180796326043,140.01436162815122,141.67404465575788,2767600
2024-01-23,140.5675811767578,141.37398637090436,138.93601318640785,140.48319342928923,1843900
2024-01-24,140.86764526367188,142.11476122896045,140.680112148049,141.49588907033132,1368700
2024-01-25,141.82408142089844,142.52734132877066,139.9487216665725,142.52734132877066,1368800
2024-01-26,142.1522674560547,142.7898828704618,141.19583002658533,141.65529829251423,999300
2024-01-29,143.9150848388672,143.94321408689788,141.43961085716157,141.58964305189707,1176400
2024-01-30,144.6371307373047,145.07784145371008,143.28686933451885,143.74633765592418,1236800
2024-01-31,141.7865753173828,145.71544183989542,141.48651089993115,142.31167374006426,2041100
2024-02-01,136.37615966796875,142.28354558431147,135.86043288891696,142.0959981680315,5011100
2024-02-02,138.89852905273438,139.62053227868714,133.52561288975562,135.00714885816217,4080500
2024-02-05,136.74185180664062,138.6265831207384,136.36677128860657,137.34196632763633,1665500
2024-02-06,139.98622131347656,140.69886717077307,136.5636955156034,136.71372772849313,3915000
2024-02-07,138.93601989746094,140.5394587161059,137.1825631786893,139.9956026930526,3150200
2024-02-08,138.7109832763672,138.94540325565492,136.7512356834081,137.99835169016208,1492600
2024-02-09,138.5609588623047,139.13294415724357,137.53887692659268,138.65471826490455,1157600
2024-02-12,139.84556579589844,140.8020032049121,138.16712523739943,138.5609490392619,1612700
2024-02-13,136.20738220214844,138.0264835652377,133.90069757453696,137.63265970949575,2121400
2024-02-14,138.65472412109375,138.67348172554972,136.8731380099965,137.49201018630353,1265300
2024-02-15,140.3050537109375,140.89578234257235,138.18588789388363,139.4798907869264,1991800
2024-02-16,139.5736541748047,140.56759254633832,138.48594209326023,139.17044439118936,1466200
2024-02-20,137.55764770507812,139.1704583860031,137.26696920581736,138.79539212396227,2044300
2024-02-21,137.43576049804688,137.56703512194065,130.98451770587045,136.49808052513103,2795300
2024-02-22,136.3292694091797,138.77661432877858,135.80417099557144,136.70433561665453,2457300
2024-02-23,137.01377868652344,138.61721756741284,135.6916609374217,136.20737342212084,1837900
2024-02-26,135.82293701171875,137.83894304052822,135.71040569621871,136.3386495019773,1416200
2024-02-27,136.8543701171875,137.61388850016573,135.8416741705969,136.4042877991002,1206800
2024-02-28,136.610595703125,138.53284248328063,136.15112737175568,136.15112737175568,1178400
2024-02-29,138.02647399902344,139.47988065905946,136.8356165579522,138.72973390150608,2726000
2024-03-01,138.59844970703125,138.92664336197015,136.22612094468062,138.2702703599507,1750200
2024-03-04,144.15892028808594,146.64376642596508,140.97079988167928,141.580300432307,5796800
2024-03-05,145.452880859375,147.50640183809188,143.39935988065812,143.76506872528344,2748500
2024-03-06,141.00830078125,143.14620970007542,137.92332605447865,139.53613654522192,7478800
2024-03-07,141.06454467773438,143.6900508541672,140.2768971171618,141.9834668317357,2112700
2024-03-08,140.96144104003906,142.29294496959864,140.83016640776873,142.1522986878311,1324300
2024-03-11,143.31497192382812,143.46500412019262,139.7142850582268,140.9895301116095,1882600
2024-03-12,141.5709228515625,144.11204195523808,140.95206492353606,143.46504046388822,1840300
2024-03-13,143.20248413085938,143.68069575794323,141.94599642277666,142.0772710443993,1893600
2024-03-14,139.236083984375,144.8527770444168,138.10148508747196,142.33041599657471,2084500
2024-03-15,139.50799560546875,140.8301275204518,138.04521744755468,138.04521744755468,3969600
2024-03-18,140.2769012451172,140.65196743513434,137.8201704845734,140.05185294639207,1316500
2024-03-19,140.755126953125,141.5334029682233,139.82681872377316,140.0049801897168,2053000
2024-03-20,144.22454833984375,144.9090506853706,139.77995461031338,140.36131159079974,1408200
2024-03-21,147.9752655029297,148.58476603406814,144.98406427661436,144.98406427661436,2656400
2024-03-22,145.81858825683594,148.9035629743442,145.80921660916943,148.34094934145458,1595500
2024-03-25,145.3778839111328,147.38451830426027,144.86217141770416,146.42809511771796,1136600
2024-03-26,145.36849975585938,146.62498726699465,145.09657890649905,145.47164510724264,1179200
2024-03-27,150.0006561279297,150.12255909456655,145.8185974399882,146.24993649341567,1712900
2024-03-28,151.52906799316406,152.1291825189488,149.91625752239403,150.0100169217567,1725300
2024-04-01,149.9725341796875,151.472813521848,149.71935658582603,151.3415389005607,1397000
2024-04-02,147.7220916748047,149.4380476845344,147.6470898704088,149.0911106847268,1509200
2024-04-03,147.34701538085938,149.58806971581294,146.5499817618253,147.8064836716726,1388700
2024-04-04,147.10321044921875,149.36300787552955,146.39056464977662,149.0160709307642,1548200
2024-04-05,147.56268310546875,147.8815051493766,146.10929068882115,146.9813261388097,1874000
2024-04-08,150.928955078125,151.41653829887568,147.75022095627162,148.33157788524463,1950000
2024-04-09,151.34152221679688,152.0354104573136,149.41928996867966,151.21024760998117,1306800
2024-04-10,145.36849975585938,148.997316040951,144.5245936502571,148.997316040951,1827100
2024-04-11,144.4777374267578,145.74359685351712,142.34919980125963,145.74359685351712,1361800
2024-04-12,142.67800903320312,143.97567994450392,141.7876308052363,142.24228680025533,1487400
2024-04-15,141.66448974609375,146.26792327023128,141.42768763981766,144.3166762270368,2159800
2024-04-16,138.80393981933594,140.18687071419237,135.94338029624203,139.41015273618598,3350300
2024-04-17,139.47645568847656,141.56979289389545,138.0840579966504,141.19090081090408,1897100
2024-04-18,140.08267211914062,141.24773459070664,139.13546356753287,139.58065274304897,1352900
2024-04-19,144.25987243652344,144.63875009460605,140.8120337162494,141.12461428813285,2370100
2024-04-22,147.6981964111328,147.83081946004398,144.2030096141581,144.69554756760127,2212300
2024-04-23,149.28953552246094,149.9999419129707,147.63192061127143,148.23813348637623,2137000
2024-04-24,149.71578979492188,149.9715401651856,147.5751035507778,147.92556610958846,1320900
2024-04-25,148.0487060546875,149.65895777298613,146.2963643754102,149.0622117340392,1220300
2024-04-26,147.86871337890625,149.34635626508657,147.15830703337693,147.8308313999098,979200
2024-04-29,147.55613708496094,148.8538080883087,147.27197164794742,147.8876658370191,1388100
2024-04-30,145.169189453125,147.30989020734103,144.8660902071715,146.58053551521613,1632900
2024-05-01,145.85118103027344,148.44653788373478,144.82819397387095,145.15025589305344,1436600
2024-05-02,147.46141052246094,147.84976947144892,145.80379566791933,147.58455225098263,1172900
2024-05-03,147.972900390625,149.89573232517102,147.87817376741197,149.05271741028756,1141500
2024-05-06,148.17181396484375,149.8483770029795,147.76452126046988,149.65893819970668,1189200
2024-05-07,147.9066162109375,149.0622118521838,147.38566304670456,148.74963128169034,1092300
2024-05-08,148.91065979003906,149.56422153688894,146.86468589055931,147.0920066883314,1254400
2024-05-09,148.82540893554688,149.43162185460844,147.15832702144158,147.6698133002645,1558800
2024-05-10,149.2611083984375,150.16095352993958,148.92957966160597,149.50737739080267,985000
2024-05-13,149.706298828125,150.4167051675942,149.30847301241275,150.14200662251054,1359500
2024-05-14,150.98501586914062,151.37337478884166,149.85784999378802,150.60613828369057,1127900
2024-05-15,152.82261657714844,153.3341172631665,151.7617476776366,152.41532385796256,1313300
2024-05-16,152.39637756347656,152.96470845438736,151.59124454356208,152.80368474105546,1521900
2024-05-17,151.8848876953125,153.51408746019214,151.81857616321346,153.51408746019214,1075100
2024-05-20,148.84434509277344,152.15010800494008,148.62649118178544,151.856475678553,1428100
2024-05-21,150.17991638183594,150.28410989900135,148.71174025932532,148.98642437553124,1168000
2024-05-22,148.23812866210938,150.17990895696045,147.54667051142744,149.28953066397722,1141400
2024-05-23,144.70506286621094,148.228680038756,144.6008693413626,148.152901615843,1704500
2024-05-24,146.1163787841797,146.1637421000826,144.47771211737316,145.19758537803125,1486400
2024-05-28,144.29774475097656,146.56157257146273,144.23144766922027,146.18269493877045,1224000
2024-05-29,143.18003845214844,144.2598555498653,141.257206378611,142.18546664953317,1832900
2024-05-30,145.79434204101562,146.618408875723,143.6347076475884,144.4587744822958,2865700
2024-05-31,149.0811309814453,149.29898486870238,145.55751454211992,146.15426046509944,2894500
2024-06-03,146.8267822265625,149.99046955459642,145.1975824742171,149.65894080316102,1450700
2024-06-04,146.02166748046875,147.18672990173576,144.96078412025562,145.23548268218545,2098900
2024-06-05,146.43846130371094,147.0257260345801,145.39652601998486,146.72261233267548,1219100
2024-06-06,146.7888946533203,147.56559806663122,146.05954009990643,146.40053572003788,1290600
2024-06-07,147.65086364746094,148.42756709147082,145.63330494416857,145.63330494416857,698800
2024-06-10,144.62925720214844,146.34370214452488,143.0095244306318,146.01217341338148,1783400
2024-06-11,142.31808471679688,143.40736876860163,140.26264389654227,143.40736876860163,2732300
2024-06-12,144.58189392089844,146.14478204632783,143.9946293203801,145.0554981350593,1669500
2024-06-13,143.73890686035156,144.60087016598925,142.43175435084635,144.28828958966164,918300
2024-06-14,143.11373901367188,143.464216011907,141.1814398951495,142.14759668103855,887900
2024-06-17,144.71450805664062,144.79975334966852,142.10021789767305,142.71589761832445,974000
